object_id,field,field_group,value,certainty,source_id,locator
IBI-BDCC7E804E77,dimensions,dimensions,Diameter 15.60 cm; depth 6.00 cm,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,findspot,provenance,Excavated/Findspot: Birs-Nimrud (Borsippa),reported,SRC-3D4B57D27A24,Related objects: 1880-1112-1963
IBI-BDCC7E804E77,findspot,provenance,Birs-Nimrud (Borsippa),reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,inscription_language,language,Aramaic,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,material,material,pottery,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1880-1112-1963
IBI-BDCC7E804E77,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1880-1112-1963
IBI-BDCC7E804E77,text_purpose,ritual,"Prosperity and safety of house, shop, and family",reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BE1D28C0DC3E,catalogue_language_codes,language,heb,reported,SRC-ADE6F4D6FBB6,MMS 997008712546805171
IBI-BE1D28C0DC3E,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-ADE6F4D6FBB6,MMS 997008712546805171
IBI-BE1D28C0DC3E,dating,dating,400–899 CE,reported,SRC-ADE6F4D6FBB6,MMS 997008712546805171
IBI-BE1D28C0DC3E,dimensions,dimensions,Height 63 mm; source field ‘הקף’ 153 mm,reported,SRC-ADE6F4D6FBB6,MMS 997008712546805171
IBI-BE34A956B4B8,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1925-1015-5
IBI-BE34A956B4B8,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1925-1015-5
IBI-BE34A956B4B8,findspot,provenance,"Found/Acquired: Iraq, South",reported,SRC-3D4B57D27A24,Related objects: 1925-1015-5
IBI-BE34A956B4B8,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1925-1015-5
IBI-BE34A956B4B8,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1925-1015-5
IBI-BF1E6329F91D,biblical_quotations,biblical_intertexts,"[""Exod. 3.15""]",reported,SRC-73C44B143A9D,"p. 157, distribution table, JBA 60"
IBI-BF1E6329F91D,current_or_reported_collection,location,The Schøyen Collection,reported,SRC-73C44B143A9D,"p. 157, distribution table, JBA 60"
IBI-BF1E6329F91D,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 157, distribution table, JBA 60"
IBI-BF211A4B72F7,current_or_reported_collection,location,Schøyen Collection,reported,SRC-A90AB34CA3FE,"p. 105, note 434"
