id,object_id,source_id,text_type,language,script,editor,locator,rights_status,content_status,content,access_citation,access_locator,access_url,access_status
TXT-6A770AD31C62,IBI-8059813DF1C5,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 154, distribution table, Isbell 52",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 154, distribution table, Isbell 52",https://doi.org/10.11647/OBP.0305,available
TXT-6BE070988FB3,IBI-E50FA737EDB0,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 159, distribution table, M 1",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 159, distribution table, M 1",https://doi.org/10.11647/OBP.0305,available
TXT-6D4968FC0817,IBI-035BA4ABBE6D,SRC-25F456A40523,summary,English,,Incantation Bowl Index summary,pp. 323–336; AC-MSEF,open_license,included,Protects Aspa son of Hoba and his wife by expelling a lilith through an invoked divorce formula.,"Martínez Borobio, Emiliano. “A Magical Bowl in Judaeo-Aramaic.” Isimu 6 (2003): 323–336. https://doi.org/10.15366/isimu2003.6.018.",pp. 323–336; AC-MSEF,https://doi.org/10.15366/isimu2003.6.018,available
TXT-700C8C257358,IBI-DE76B61B6C76,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 160, distribution table, MS 2053/130",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 160, distribution table, MS 2053/130",https://doi.org/10.11647/OBP.0305,available
TXT-7315DDB1F6D5,IBI-591F2729082B,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 161, distribution table, ZRL 48",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 161, distribution table, ZRL 48",https://doi.org/10.11647/OBP.0305,available
TXT-73FFA9AF79DF,IBI-DF07D8BFA2A2,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 160, distribution table, S-446",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 160, distribution table, S-446",https://doi.org/10.11647/OBP.0305,available
TXT-7428C0689A9A,IBI-04E65150CB94,SRC-8EBCA8FEF9B5,summary,English,,Discovery-campaign summary of auction translation,"Auction 32, lot 153",copyrighted,included,"The text identifies itself as an amulet for the house, dwelling, threshold, and shop of Ḥušaʾa son of Šīlta, asking that grace and mercy be released upon his buying and selling as rain is released from heaven.","Kedem Auction House. ‘Incantation Bowl.’ Auction 32, lot 153, 2 July 2013.","Auction 32, lot 153",https://www.kedem-auctions.com/en/incantation-bowl,partial
TXT-7560B197F009,IBI-FB4728FAE732,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 158, distribution table, JBA 75",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 158, distribution table, JBA 75",https://doi.org/10.11647/OBP.0305,available
TXT-75B0A4ADF0B4,IBI-5337D0961A00,SRC-36BB3396A927,summary,English,,Incantation Bowl Index summary,lot 47; record 23199669,unknown,included,"Prophylactic Mandaic incantation for Amkur and his son, with an exterior expression interpreted as referring to burning fever.","Gazette Drouot, ‘Mandaean Magic Cup of Amkur and His Son,’ lot 47, record 23199669, observed 4 September 2026; citing Maria Gorea, Semitica 51 (2003), 73–78 and illustration p. 90.",lot 47; record 23199669,https://www.gazette-drouot.com/en/lots/23199669-mandaean-magic-cup-of-amkur---,partial
TXT-75D14D6207FD,IBI-F36B9EC67F96,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 156, distribution table, JBA 08",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 156, distribution table, JBA 08",https://doi.org/10.11647/OBP.0305,available
