source_id,title,authors,issued_year,container_title,citation,doi,source_type,access_status,scope,scope_label,scope_basis,objects_published,document_held
SRC-62F5BFBBBF01,Notes on a Recently Published Magic Bowl,Matthew Morgenstern,2004,Aramaic Studies,Notes on a Recently Published Magic Bowl (2004). Crossref DOI 10.1163/000000004781540380.,10.1163/000000004781540380,article,unknown,,Not yet classified,unclassified,0,0
SRC-DF29C7D96B98,Notes on a Recently Published Magic Bowl,M. Morgenstern,2004,Aramaic Studies,Notes on a Recently Published Magic Bowl (2004). Crossref DOI 10.1177/147783510400200204.,10.1177/147783510400200204,article,unknown,,Not yet classified,unclassified,0,0
SRC-E961C60043EC,A Corpus of Magic Bowls: Incantation Texts in Jewish Aramaic from Late Antiquity,Levene [and others; see citation],2003,,"———. A Corpus of Magic Bowls: Incantation Texts in Jewish Aramaic from Late Antiquity. London: Kegan Paul, 2003.",,book,unknown,,Not yet classified,unclassified,0,0
SRC-25F456A40523,A Magical Bowl in Judaeo-Aramaic,Emiliano Martínez Borobio,2003,Isimu: Revista sobre Oriente Próximo y Egipto en la Antigüedad 6,"Martínez Borobio, Emiliano. “A Magical Bowl in Judaeo-Aramaic.” Isimu 6 (2003): 323–336. https://doi.org/10.15366/isimu2003.6.018.",10.15366/isimu2003.6.018,article,available,single_object_edition,Edition of one bowl,derived,1,0
SRC-29C07A77636C,Heal O’ Israel: A Pair of Duplicate Magic Bowls from the Pergamon Museum in Berlin,Levene [and others; see citation],2003,JJS,———. “Heal O’ Israel: A Pair of Duplicate Magic Bowls from the Pergamon Museum in Berlin.” JJS 54 (2003): 104–21.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-F43806E84747,Magic and Society in Late Sasanian Iraq,Michael G. Morony,2003,,"Morony, Michael G. 'Magic and Society in Late Sasanian Iraq.' 2003.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-A01A00423544,Trois nouvelles coupes magiques araméennes,"Gorea, Maria",2003,Semitica,"Gorea, Maria. “Trois nouvelles coupes magiques araméennes.” Semitica 51 (2003): 73–92.",,article,unknown,single_object_edition,Edition of one bowl,derived,1,0
SRC-1EE58A703971,Another Look at Mandaic Incantation Bowl BM 91715,Christa Müller-Kessler,2002,Journal article,"Müller-Kessler, ‘Another Look at Mandaic Incantation Bowl BM 91715’ (2002).",,article,partial,,Not yet classified,unclassified,0,0
SRC-FORD2002-JANES,Another Look at Mandaic Incantation Bowl BM 91715,J. N. Ford,2002,Journal of the Ancient Near Eastern Society 29,"Ford, J. N. 2002. Another Look at Mandaic Incantation Bowl BM 91715. Journal of the Ancient Near Eastern Society 29: 31–47.",,article,partial,,Not yet classified,unclassified,0,0
SRC-0C4E39F5E15F,Linguistic Peculiarities in the Aramaic Magic Bowl Texts,Alison G. Salvesen,2002,Journal of Jewish Studies,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (2002). Crossref DOI 10.18647/2443/jjs-2002.,10.18647/2443/jjs-2002,article,unknown,,Not yet classified,unclassified,0,0
SRC-34C33C92D6CA,Aramaean Demons in Rome: Incantation Bowls in the Museo Nazionale d’Arte Orientale,"Moriggi, Marco",2001,East and West,"Moriggi, Marco. “ Aramaean Demons in Rome: Incantation Bowls in the Museo Nazionale d’Arte Orientale.” East and West 51 (2001): 205–28.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-26F4495F3314,Linguistic Peculiarities in the Aramaic Magic Bowl Texts,Eljakim Wajsberg; Hannu Juusola,2001,The Jewish Quarterly Review,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (2001). Crossref DOI 10.2307/1455620.,10.2307/1455620,article,unknown,,Not yet classified,unclassified,0,0
SRC-D721A94FA3B2,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (review),,2001,Jewish Quarterly Review,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (review) (2001). Crossref DOI 10.1353/jqr.2001.0002.,10.1353/jqr.2001.0002,article,unknown,,Not yet classified,unclassified,0,0
